Place,Time,Marking
>New batch arrives,54.56,41
Heat-sealing packaging,54.56,1
>New batch arrives,54.56,40
>New batch arrives,55.5,41
>New batch arrives,55.5,42
>New batch arrives,57.0,43
>New batch arrives,57.0,44
Heat-sealing packaging,57.83,0
Sealer standby state,57.83,1
Sealer standby state,57.83,0
Heat-sealing packaging,57.83,1
>New batch arrives,57.83,43
Heat-sealing packaging,57.83,1
>New batch arrives,57.83,42
>New batch arrives,58.5,43
>New batch arrives,58.5,44
>New batch arrives,60.0,45
>New batch arrives,60.0,46
Heat-sealing packaging,61.44,0
Sealer standby state,61.44,1
Sealer standby state,61.44,0
Heat-sealing packaging,61.44,1
>New batch arrives,61.44,45
Heat-sealing packaging,61.44,1
>New batch arrives,61.44,44
>New batch arrives,61.5,45
>New batch arrives,61.5,46
>New batch arrives,63.0,47
>New batch arrives,63.0,48
>New batch arrives,64.5,49
>New batch arrives,64.5,50
Heat-sealing packaging,65.01,0
Sealer standby state,65.01,1
Sealer standby state,65.01,0
Heat-sealing packaging,65.01,1
>New batch arrives,65.01,49
Heat-sealing packaging,65.01,1
>New batch arrives,65.01,48
>New batch arrives,66.0,49
>New batch arrives,66.0,50
>New batch arrives,67.5,51
>New batch arrives,67.5,52
Heat-sealing packaging,68.72,0
Sealer standby state,68.72,1
Sealer standby state,68.72,0
Heat-sealing packaging,68.72,1
>New batch arrives,68.72,51
Heat-sealing packaging,68.72,1
>New batch arrives,68.72,50
>New batch arrives,69.0,51
>New batch arrives,69.0,52
>New batch arrives,70.5,53
>New batch arrives,70.5,54
>New batch arrives,72.0,55
>New batch arrives,72.0,56
Heat-sealing packaging,72.11,0
